Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.156277, 149.113559",-35.156277,149.113559,"Australian Capital Territory, Yamma Way, Moncrieff 2914, Australia", Moncrieff 2914,YAMMA WAY (MIRRABEI / BERNARD HEINZ -> BRONHILL),1179648,15/03/2018,2018,March,11:45,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.186149, 149.138564",-35.186149,149.138564,"Inspire Allied Health and Education Group, Australian Capital Territory, Hibberson Street, Gungahlin 2912, Australia", Gungahlin 2912,HIBBERSON STREET (HINDER -> KATE CRACE / FLEMINGTON),1142179,11/08/2016,2016,August,09:30,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.328325, 149.177771",-35.328325,149.177771,"Australian Capital Territory, Newcastle Street, Fyshwick 2609, Australia", Fyshwick 2609,NEWCASTLE STREET (MOLONGLO / WOLLONGONG -> COLLIE),1118896,22/05/2015,2015,May,12:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.275589, 149.1283",-35.275589,149.1283,"Australian Capital Territory, Barry Drive, Turner 2612, Australia", Turner 2612,BARRY/MOORE INTERSECTION,1169739,04/10/2017,2017,October,08:45,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.349465, 149.084402",-35.349465,149.084402,"Australian Capital Territory, Melrose Drive, Phillip 2606, Australia", Phillip 2606,MELROSE DRIVE (BOTANY -> HINDMARSH),1170178,25/08/2017,2017,August,15:09,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.427913, 149.08407",-35.427913,149.08407,"Australian Capital Territory, Barr Smith Avenue, Isabella Plains 2905, Australia", Isabella Plains 2905,BARR SMITH/DRAKEFORD INTERSECTION,1177656,16/02/2018,2018,February,07:45,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.277379, 149.125339",-35.277379,149.125339,"Australian Capital Territory, Childers Street, City 2601, Australia", City 2601,CHILDERS/HUTTON INTERSECTION,1170770,24/10/2017,2017,October,12:55,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.307394, 149.1706",-35.307394,149.1706,"Australian Capital Territory, Majura Parkway, Fyshwick 2609, Australia", Fyshwick 2609,MAJUNMORSWRM/MAJURA INTERSECTION,1078965,08/01/2014,2014,January,21:55,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.277672, 149.132085",-35.277672,149.132085,"Alter Ego, Australian Capital Territory, Bunda Street, City 2601, Australia", City 2601,BUNDA/GENGE INTERSECTION,1203469,13/03/2019,2019,March,13:05,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.302513, 149.169366",-35.302513,149.169366,"Australian Capital Territory, Morshead Drive, Campbell 2612, Australia", Campbell 2612,MAJUNMORSWRM/MORSHEAD INTERSECTION,1114831,10/07/2015,2015,July,09:55,Morning,Struck pedestrian (Off Road),Injury,1,1
